0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,sentiment
33,117,5,53,214,11,47,8,155,4,19,337,19,1,546,416,2,241,190,6,812,0,0,0
21,48,54,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,11,1,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
813,8,83,11,418,547,84,50,814,242,815,144,0,0,0,0,0,0,0,0,0,0,0,0
1,338,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,22,8,816,1,155,8,70,4,8,273,55,145,8,70,339,146,0,0,0,0,0,0,0
49,23,22,215,817,65,215,818,419,100,819,1,820,12,340,821,12,130,36,190,36,0,0,0
49,23,34,274,822,23,341,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
823,8,216,2,548,10,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,6,118,12,85,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,32,25,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
549,17,15,173,71,243,43,1,275,29,8,1,550,29,0,0,0,0,0,0,0,0,0,1
49,1,119,342,824,190,6,825,174,826,2,276,8,551,827,420,3,828,32,43,1,27,0,0
15,21,25,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,156,5,15,829,31,1,39,343,5,13,15,102,64,37,0,0,0,0,0,0,0,0,0
175,60,11,77,36,422,40,6,344,552,9,0,0,0,0,0,0,0,0,0,0,0,0,1
2,553,423,86,13,46,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,131,33,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,831,161,345,19,6,214,20,157,23,832,176,132,20,833,41,191,0,0,0,0,0,0,0
2,217,18,834,554,3,835,37,836,30,107,13,70,4,8,424,147,0,0,0,0,0,0,0
2,103,7,8,38,14,10,837,555,3,346,838,4,0,0,0,0,0,0,0,0,0,0,1
1,839,34,1,218,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,22,425,8,556,7,78,29,426,119,347,3,557,244,177,192,277,0,0,0,0,0,0,1
2,103,4,11,10,841,3,348,26,6,133,14,1,29,0,0,0,0,0,0,0,0,0,0
16,427,428,9,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,558,7,9,11,559,178,104,3,87,216,20,57,1,66,278,9,51,26,0,0,0,0,1
2,219,162,20,1,349,429,342,279,8,47,0,0,0,0,0,0,0,0,0,0,0,0,0
163,843,148,47,193,3,2,26,8,560,67,1,844,3,193,18,1,9,0,0,0,0,0,0
108,280,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,6,245,194,9,8,38,30,1,845,5,846,0,0,0,0,0,0,0,0,0,0,0
7,24,5,847,11,163,45,47,848,246,34,15,849,0,0,0,0,0,0,0,0,0,0,1
4,5,561,19,6,850,94,64,851,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,22,119,84,179,350,19,7,853,3,2,351,7,9,0,0,0,0,0,0,0,0,0,0
94,83,31,35,31,854,83,34,430,8,149,281,23,195,556,67,12,855,856,857,0,0,0,1
64,562,196,858,8,70,8,44,9,563,43,1,56,23,88,282,18,1,9,29,134,5,859,0
4,40,352,55,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,193,56,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48,5,16,3,28,135,14,1,860,0,0,0,0,0,0,0,0,0,0,0,0,0,1
431,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,40,6,16,136,432,861,3,1,862,34,72,3,150,14,16,248,25,0,0,0,0,0,1
2,17,13,173,190,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,27,249,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,68,148,863,11,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,95,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,40,37,1,433,2,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
422,19,197,145,864,5,865,89,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,866,14,198,564,1,221,137,222,565,1,164,58,119,177,0,0,0,0,0,0,0,0,0
7,48,354,35,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,223,138,3,108,282,18,45,4,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,434,3,61,13,149,9,75,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,868,356,357,566,6,567,161,6,224,869,870,871,435,12,76,6,872,873,0,0,0,0,1
7,9,5,166,283,3,51,195,26,77,568,144,14,4,0,0,0,0,0,0,0,0,0,1
2,79,7,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180,96,4,5,135,3,874,11,1,59,2,875,0,0,0,0,0,0,0,0,0,0,0,1
15,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97,221,7,9,161,6,876,3,4,17,877,11,878,436,3,4,122,28,16,0,0,0,1
2,22,113,15,114,14,1,437,3,22,26,53,879,43,77,36,564,10,32,25,18,197,251,1
1,199,11,18,3,123,34,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,23,87,570,880,571,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,62,60,7,881,225,4,167,15,72,882,3,181,0,0,0,0,0,0,0,0,0,0,1
80,252,342,6,16,253,3,2,162,105,34,438,1,66,125,51,121,19,1,191,215,179,439,1
89,6,284,9,30,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,22,8,280,1,9,64,6,572,883,11,1,158,573,8,148,23,574,0,0,0,0,0,0
359,5,20,1,199,18,1,440,441,576,20,577,23,885,3,886,887,578,67,58,6,126,436,0
6,285,360,58,2,888,4,4,889,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,286,84,102,50,218,227,98,2,182,580,3,20,228,19,1,214,581,0,0,0,0,0,1
16,11,890,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,140,5,16,19,215,891,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
338,108,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,19,10,892,196,582,115,5,893,583,2,22,442,894,101,1,158,584,5,585,0,0,0,0
16,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,586,587,11,444,65,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,5,6,445,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,13,89,11,588,895,589,11,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,6,16,194,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,79,7,9,4,5,15,590,3,40,6,184,12,433,0,0,0,0,0,0,0,0,0,1
2,361,7,3,254,63,177,4,17,53,446,159,0,0,0,0,0,0,0,0,0,0,0,0
2,182,4,896,3,4,362,55,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,6,21,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,447,287,18,56,3,28,31,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,29,898,229,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,90,81,16,30,4,200,58,591,178,12,38,0,0,0,0,0,0,0,0,0,0,0,0
1,227,34,99,8,38,3,423,592,130,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,9,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,448,12,1,227,5,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,17,54,3,28,91,50,1,198,36,3,899,17,4,593,0,0,0,0,0,0,0,0,1
1,9,900,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,594,31,151,31,7,36,61,2,289,4,8,42,131,91,3,14,901,450,50,7,139,61,0
121,15,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,39,902,68,595,596,19,36,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,118,44,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,364,43,130,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,23,452,8,38,7,19,6,94,570,96,4,0,0,0,0,0,0,0,0,0,0,0,0
2,201,7,24,8,46,903,75,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,63,158,904,3,7,36,40,1,66,25,11,230,47,3,1,905,31,35,31,450,12,152,1
73,15,165,14,10,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906,907,14,1,153,274,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
597,598,23,107,908,85,145,229,1,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,6,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,59,17,15,21,3,14,1,291,292,3,37,4,17,6,21,125,0,0,0,0,0,0,1
2,255,10,910,78,153,911,3,912,117,17,13,6,454,455,1,9,3,1,83,0,0,0,0
599,21,136,15,72,293,74,40,181,913,45,256,3,600,3,84,0,0,0,0,0,0,0,1
557,6,601,156,602,416,73,13,152,4,914,115,2,52,162,5,1,48,0,0,0,0,0,0
79,10,915,27,10,916,95,27,5,16,1,106,5,15,21,3,1,39,141,5,6,102,154,1
1,136,603,917,64,92,604,183,196,918,919,920,20,456,35,426,921,12,457,6,922,294,605,0
2,923,7,11,1,94,83,3,4,61,13,42,0,0,0,0,0,0,0,0,0,0,0,0
18,230,251,5,54,2,38,27,8,168,10,458,3,606,10,458,8,38,27,8,168,47,63,1
7,9,5,607,3,203,3,1,459,5,445,0,0,0,0,0,0,0,0,0,0,0,0,1
2,162,432,109,608,18,925,3,4,460,3,926,608,145,229,8,109,29,927,609,928,365,48,1
16,24,366,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
346,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,356,5,6,72,929,455,6,610,930,3,1,931,127,9,611,612,0,0,0,0,0,0,1
2,142,7,9,257,1,251,12,461,3,73,231,613,14,4,0,0,0,0,0,0,0,0,0
4,5,15,102,18,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,40,113,6,932,11,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
462,169,22,113,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
202,215,284,463,11,10,127,9,3,7,204,36,5,1,88,36,51,201,20,160,10,39,367,1
107,13,70,295,138,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
934,15,296,14,10,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,1,297,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
615,1,69,17,15,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,110,13,42,19,10,127,9,155,2,82,15,55,368,14,1,83,0,0,0,0,0,0,0
51,68,26,10,95,11,6,126,298,30,2,62,45,4,0,0,0,0,0,0,0,0,0,1
1,464,27,17,457,6,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,33,205,3,23,52,97,936,20,4,5,117,58,6,128,12,465,111,8,4,0,0,1
1,937,232,5,466,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,28,16,17,447,939,8,467,77,940,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,941,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
597,46,15,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,942,12,1,617,468,227,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,21,618,11,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,27,28,76,943,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,10,619,2,17,465,221,470,945,3,53,470,19,10,946,0,0,0,0,0,0,0,0,0
206,620,5,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,6,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,215,284,63,947,137,2,623,174,471,3,4,17,19,92,472,20,26,174,347,0,0,0,0
2,17,13,114,14,7,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,624,473,8,120,45,63,8,174,299,625,0,0,0,0,0,0,0,0,0,0,0,0
2,142,7,9,18,948,43,6,949,3,73,369,2,110,0,0,0,0,0,0,0,0,0,1
101,6,118,12,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,106,5,15,15,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,626,31,430,43,1,474,34,13,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,196,178,170,76,217,256,37,12,6,951,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,627,11,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,25,5,112,15,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,26,346,53,133,14,7,27,952,8,10,953,628,954,0,0,0,0,0,0,0,0,0,1
2,300,20,629,955,30,8,47,4,956,45,957,630,20,631,42,35,35,7,36,28,16,0,1
51,103,174,632,252,20,32,91,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9,5,15,366,14,340,77,301,12,958,3,959,960,5,961,962,50,633,164,2,22,111,1
72,25,963,964,233,185,965,67,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,90,5,475,3,28,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,2,76,79,1,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
634,5,76,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,87,86,5,967,18,1,234,33,337,4,370,1,84,2,38,1,139,1,260,2,45,4,0
16,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,5,569,6,968,371,20,61,13,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,45,6,302,4,42,1,143,31,1,36,2,142,14,1,9,0,0,0,0,0,0,0,1
2,122,636,20,970,971,149,252,222,76,372,52,972,138,973,8,974,1,156,171,8,975,0,0
16,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,42,64,37,2,976,4,11,10,977,3,109,13,159,0,0,0,0,0,0,0,0,0,0
1,207,12,4,5,15,476,3,1,170,5,72,3,150,14,16,637,0,0,0,0,0,0,1
108,191,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,139,2,351,5,1,978,368,638,64,1,373,0,0,0,0,0,0,0,0,0,0,0,0
54,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
639,23,11,979,10,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,87,20,46,1,220,25,5,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,640,477,3,641,34,62,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,980,981,982,37,1,983,20,36,984,478,5,16,0,0,0,0,0,0,0,0,0,0,1
635,9,18,6,16,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
643,95,153,985,8,10,9,3,4,81,45,6,302,986,1,9,17,19,10,427,65,1,48,1
987,988,18,4,989,990,3,4,104,991,8,480,8,6,992,3,578,55,262,481,19,6,128,0
4,68,993,1,9,31,109,644,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,23,45,6,223,645,8,646,37,44,418,100,7,9,5,11,23,0,0,0,0,0,0,0
52,89,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,26,7,994,27,11,233,56,104,3,122,13,102,14,1,214,4,160,18,1,39,0,0,0
1,32,25,5,21,3,647,5,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,22,7,9,3,4,5,6,995,19,10,373,2,62,996,4,0,0,0,0,0,0,0,0
2,997,26,144,304,2,107,13,263,642,11,84,50,374,242,264,208,998,0,0,0,0,0,0
648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,12,999,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2,1001,206,1002,64,1003,1,612,1004,566,123,6,126,436,161,1,88,1005,3,100,73,482,0
1,483,579,19,6,126,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,649,1006,305,21,9,8,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1007,105,22,113,484,72,3,279,18,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1
2,22,26,144,1008,1009,650,258,3,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,1010,2,1011,551,4,5,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1012,79,176,651,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1013,48,108,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,9,485,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,306,5,97,1015,50,2,486,4,41,46,3,1,637,34,1016,476,0,0,0,0,0,0,1
37,19,37,2,162,4,17,6,21,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,157,15,1018,1019,1020,264,4,1021,1,168,0,0,0,0,0,0,0,0,0,0,0,0,0
1,66,1022,12,1,1023,1024,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,375,68,6,126,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,27,15,173,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,183,63,1027,1028,136,208,6,307,12,6,9,5,487,1029,0,0,0,0,0,0,0,0,1
51,26,7,11,652,63,179,3,4,40,81,16,11,47,0,0,0,0,0,0,0,0,0,1
21,1030,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
222,34,340,4,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,1031,1,236,11,126,1032,24,30,2,1033,1,1034,20,2,355,13,22,103,7,488,1035,1036,0
49,23,351,1037,467,7,9,190,37,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,59,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,339,51,113,376,8,1039,257,10,619,14,1,9,19,1,1040,654,14,53,106,32,25,655,1
366,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,41,175,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,41,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,74,219,45,1,18,638,4,656,45,4,41,1041,14,38,0,0,0,0,0,0,0,0,0
129,9,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,122,1042,14,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1043,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,301,12,657,8,38,98,12,176,4,167,3,1045,57,657,176,1046,45,1,236,5,0,0,0
245,377,3,16,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,19,37,309,378,6,91,658,489,43,153,0,0,0,0,0,0,0,0,0,0,0,0,0
490,6,210,1047,32,19,1,659,18,37,10,137,20,2,22,195,623,264,0,0,0,0,0,0
80,34,660,15,102,3,647,5,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,661,52,45,1048,30,7,36,5,15,377,108,662,55,10,1049,0,0,0,0,0,0,0,1
73,6,663,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,22,26,7,9,11,171,6,211,104,3,2,116,664,23,109,13,20,16,0,0,0,0,0
2,491,7,11,492,1050,634,30,2,162,4,68,81,481,432,71,2,88,111,4,0,0,0,0
1,29,5,231,235,8,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,6,226,118,12,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,118,44,18,7,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,32,3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,296,14,7,24,33,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,12,10,1051,1052,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,95,18,1,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1053,365,14,72,1054,3,494,2,60,23,7,48,0,0,0,0,0,0,0,0,0,0,0,1
2,17,15,665,8,70,7,27,98,2,486,4,17,62,1055,0,0,0,0,0,0,0,0,1
86,13,149,1,143,379,31,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,310,14,1056,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,17,561,3,17,13,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,186,69,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,666,39,667,429,3,53,349,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1058,1,669,12,6,95,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,262,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,1060,1061,9,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,252,11,1,59,3,105,42,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
234,5,1062,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,15,102,8,182,31,35,115,5,495,1,218,311,1063,96,152,6,48,0,0,0,0,1
57,160,45,6,1064,3,5,295,670,3,1065,0,0,0,0,0,0,0,0,0,0,0,0,1
1066,10,1067,1,66,9,2,22,93,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
